iso3c,year,life_expect,birth_rate,neonat_mortal_rate
BRB,2014,75.4964146341463,12.098,8.2
BRB,2007,74.3564146341464,12.764,9.8
BRB,2002,73.5463170731707,13.394,9.2
BRB,2013,75.3339512195122,12.188,8.4
BRB,1997,72.6842195121951,14.5,8.7
BRB,2015,NA,NA,8
BRB,1994,72.0724878048781,15.206,9.5
BRB,1990,71.1719512195122,16.025,11.6
BRB,2009,74.6824878048781,12.575,9.3
BRB,2005,74.0303414634146,12.967,10
BRB,1992,71.6312195121951,15.63,10.4
BRB,1995,72.2843902439025,14.979,9.2
BRB,2010,74.8452926829268,12.478,9.1
BRB,1991,71.4033414634146,15.829,11
BRB,1996,72.4888048780488,14.742,8.9
BRB,2003,73.7071707317073,13.23,9.5
BRB,1993,71.8540975609756,15.423,9.9
BRB,2004,73.8680243902439,13.088,9.8
BGD,1990,58.4175609756098,35.385,63.4
BGD,1998,64.0591463414634,28.961,45.9
BGD,1997,63.3578780487805,29.638,47.7
BGD,2014,71.6259024390244,19.796,24.2
BGD,2013,71.245243902439,20.142,25.2
BGD,2001,65.9301707317073,26.945,41
BGD,1991,59.0502682926829,34.433,61
BGD,2002,66.4781707317073,26.252,39.6
BGD,2015,NA,NA,23.3
BGD,2009,69.6837804878049,21.763,30.2
BGD,2011,70.4719512195122,20.882,27.6
BGD,1999,64.7238292682927,28.294,44.2
BGD,2000,65.3479756097561,27.626,42.6
BGD,1993,60.4188048780488,32.648,56.4
BGD,1996,62.6295609756098,30.331,49.6
BGD,2010,70.0802926829268,21.298,28.9
BGD,1992,59.7178536585366,33.519,58.7
BGD,2006,68.4256341463415,23.484,34.2
BGD,2003,67.0001463414634,25.55,38.2
BGD,2004,67.4971951219512,24.846,36.8
BGD,1995,61.8873902439024,31.057,51.8
BGD,1994,61.1455365853659,31.827,54
BGD,2012,70.8602682926829,20.501,26.3
BGD,2007,68.8599756097561,22.858,32.8
BGD,2008,69.2778536585366,22.283,31.5
BGD,2005,67.9718536585366,24.152,35.5
BEL,1992,76.3512195121951,12.4,4.2
BEL,2015,NA,NA,2.2
BEL,1994,76.6917073170732,11.5,3.9
BEL,1995,76.8407317073171,11.4,3.8
BEL,1993,76.3453658536585,12,4.1
BEL,1990,76.0519512195122,12.4,4.6
BEL,2014,80.5878048780488,11.1,2.2
BEL,2002,78.0756097560976,10.9,2.8
BEL,2006,79.380487804878,11.6,2.6
BEL,2004,78.8780487804878,11.3,2.7
BEL,1991,76.1921951219512,12.6,4.4
BEL,2008,79.6804878048781,11.9,2.4
BEL,2003,78.1292682926829,11,2.8
BEL,2007,79.7829268292683,11.7,2.5
BEL,2010,80.1829268292683,11.9,2.3
BEL,2001,77.9731707317073,11.2,2.9
